,country,country_code,highest_ten_income_share_resid
229,Solomon Islands,SLB,
230,Sierra Leone,SLE,
231,San Marino,SMR,
232,Somalia,SOM,
233,Serbia,SRB,
234,South Sudan,SSD,
235,Sub-Saharan Africa,SSF,
236,Sao Tome and Principe,STP,
237,Suriname,SUR,
238,Eswatini,SWZ,
239,Sint Maarten (Dutch part),SXM,
240,Seychelles,SYC,
241,Syrian Arab Republic,SYR,
242,Turks and Caicos Islands,TCA,
243,Chad,TCD,
244,Turkmenistan,TKM,
245,Timor-Leste,TLS,
246,Tonga,TON,
247,Trinidad and Tobago,TTO,
248,Tunisia,TUN,
249,Tuvalu,TUV,
250,Tanzania,TZA,
251,Uganda,UGA,
252,United States,USA,
253,Uzbekistan,UZB,
254,St. Vincent and the Grenadines,VCT,
255,"Venezuela, RB",VEN,
256,British Virgin Islands,VGB,
257,Virgin Islands (U.S.),VIR,
258,Vietnam,VNM,
259,Vanuatu,VUT,
260,Samoa,WSM,
261,"Yemen, Rep.",YEM,
262,South Africa,ZAF,
263,Zimbabwe,ZWE,
